SCORES
name,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.6a,1.1.6b,1.1.6c,1.1.7,1.1.8,1.2.1,1.2.2,1.3.1,1.3.2,1.4.1,1.4.2,2.1.1,2.1.2,2.1.3,2.2.1,2.2.2,2.3.1,3.1.1,3.1.1a,3.1.1b,3.1.1c,3.1.2,3.1.2a,3.1.2b,3.1.2c,3.1.3,3.1.3a,3.1.3b,3.1.3c,3.1.4,3.1.4a,3.1.4b,3.1.4c,3.1.5,3.1.5a,3.1.5b,3.1.5c,3.1.6,3.1.6a,3.1.6b,3.1.6c,3.1.7,3.1.7a,3.1.7b,3.1.7c,3.1.8,3.1.8a,3.1.8b,3.1.8c,3.1.9,3.1.9a,3.1.9b,3.1.9c,3.2.1,3.2.1a,3.2.1b,3.2.1c,3.2.2,3.2.2a,3.2.2b,3.2.2c,3.2.3,3.2.3a,3.2.3b,3.2.3c,3.2.4,3.2.4a,3.2.4b,3.2.4c,3.2.5,3.2.5a,3.2.5b,3.2.5c,3.2.6,3.2.6a,3.2.6b,3.2.6c,3.2.7,3.2.7a,3.2.7b,3.2.7c,3.2.8,3.2.8a,3.2.8b,3.2.8c,3.3.1,3.3.1a,3.3.1b,3.3.1c,3.3.2,3.3.2a,3.3.2b,3.3.2c,3.4.1,3.4.1a,3.4.1b,3.4.1c,3.4.2,4.1.1,4.1.1a,4.1.1b,4.1.1c,4.1.2,4.1.2a,4.1.2b,4.1.2c,4.1.3,4.1.3a,4.1.3b,4.1.3c,4.2.1,4.2.1a,4.2.1b,4.2.1c,4.2.2,4.2.2a,4.2.2b,4.2.2c,4.2.3,4.2.3a,4.2.3b,4.2.3c,4.2.4,4.2.4a,4.2.4b,4.2.4c,4.3.1,4.3.1a,4.3.1b,4.3.1c,4.4.1,4.4.1a,4.4.1b,4.4.1c,5.1.1,5.1.1a,5.1.1b,5.1.1c,5.1.2,5.1.2a,5.1.2b,5.1.2c,5.2.1,5.2.1a,5.2.1b,5.2.1c,5.3.1,5.4.1,BG 01,BG 02,BG 03,BG 04,BG 05,BG 06,BG 07
,,,,,,Overall,School,Higher education,TVET,,,,,,,,,,,,,,,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET,Overall,School,Higher education,TVET
Bangladesh,26.3,75.1,65.0,9.5,0.0,33.3,50.0,0.0,50.0,64.3,93.2,20.2,0.0,0.0,73.1,0.0,19.6,100.0,0.0,100.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,20.9,25.0,28.6,9.1,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,77.8,100.0,50.0,83.3,35.7,50.0,0.0,57.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,86.1,58.3,100.0,100.0,71.4,42.9,71.4,100.0,100.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.6,42.9,63.6,36.4,55.6,0.0,66.7,100.0,68.0,42.9,77.8,83.3,66.7,100.0,100.0,0.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,11.9,0.0,22.2,13.3,13.3,0.0,21.0,19.0,57.7,37.5,50.0,85.7,12.1,100.0,-,-,-,-,-,-,-
Cambodia,73.7,52.1,41.2,73.0,54.7,16.7,50.0,0.0,0.0,85.7,0.0,28.1,6.8,86.4,78.0,32.4,5.0,66.7,0.0,0.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,71.3,75.0,57.1,81.8,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,86.6,100.0,87.5,72.2,79.4,100.0,66.7,71.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,94.4,83.3,100.0,100.0,28.1,57.1,0.0,27.3,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.5,71.4,0.0,68.2,36.1,0.0,33.3,75.0,43.3,71.4,33.3,25.0,66.7,100.0,100.0,0.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,46.7,0.0,100.0,40.0,17.0,0.0,28.0,23.0,49.0,87.5,16.7,42.9,80.2,50.0,-,-,-,-,-,-,-
Fiji,69.7,0.3,27.4,100.0,100.0,33.3,0.0,50.0,50.0,7.1,81.6,10.6,70.8,100.0,100.0,63.0,2.9,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,76.2,100.0,28.6,100.0,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,75.9,100.0,50.0,77.8,73.0,100.0,33.3,85.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,66.7,0.0,100.0,100.0,31.6,57.1,28.6,9.1,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,58.3,50.0,50.0,75.0,75.3,71.4,54.5,100.0,55.6,0.0,66.7,100.0,69.4,100.0,66.7,41.7,100.0,100.0,100.0,100.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,54.7,28.6,88.9,46.7,17.0,0.0,27.0,24.0,40.5,0.0,50.0,71.4,0.0,50.0,-,-,-,-,-,-,-
Kyrgystan,38.7,100.0,100.0,65.1,61.0,33.3,50.0,50.0,0.0,0.0,38.8,77.6,19.3,86.4,100.0,97.2,0.1,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,33.5,50.0,14.3,36.4,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,50.0,62.5,87.5,0.0,44.4,50.0,83.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,97.2,91.7,100.0,100.0,62.3,42.9,71.4,72.7,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,58.3,50.0,50.0,75.0,66.7,100.0,100.0,0.0,33.3,0.0,100.0,0.0,37.6,57.1,55.6,0.0,100.0,100.0,100.0,100.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,29.5,28.6,33.3,26.7,14.3,0.0,22.0,21.0,66.1,62.5,50.0,85.7,34.5,50.0,-,-,-,-,-,-,-
Mongolia,38.3,72.6,97.4,93.7,48.8,33.3,50.0,50.0,0.0,57.1,100.0,71.6,68.3,100.0,93.2,93.9,1.5,33.3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,41.7,25.0,100.0,0.0,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,58.3,75.0,0.0,100.0,55.6,50.0,16.7,100.0,66.7,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,69.4,8.3,100.0,100.0,34.6,85.7,0.0,18.2,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,38.3,28.6,72.7,13.6,44.4,100.0,33.3,0.0,28.6,85.7,0.0,0.0,0.0,0.0,0.0,0.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,77.8,100.0,33.3,100.0,18.0,0.0,22.0,32.0,42.9,0.0,100.0,28.6,25.0,50.0,-,-,-,-,-,-,-
Pakistan,21.6,0.0,0.0,77.8,44.2,50.0,50.0,50.0,50.0,57.1,9.7,32.6,24.6,100.0,0.0,24.7,100.0,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,54.5,100.0,0.0,63.6,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,58.8,87.5,50.0,38.9,54.4,75.0,16.7,71.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,91.7,75.0,100.0,100.0,26.4,0.0,42.9,36.4,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,62.1,100.0,45.5,40.9,52.8,50.0,33.3,75.0,71.4,14.3,100.0,100.0,66.7,100.0,0.0,100.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,15.6,0.0,0.0,46.7,14.3,0.0,19.0,24.0,41.7,25.0,100.0,0.0,6.0,50.0,-,-,-,-,-,-,-
Philipines,0.0,87.4,79.7,0.0,72.7,33.3,50.0,50.0,0.0,100.0,41.7,0.0,51.6,9.1,84.3,53.2,4.4,66.7,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,61.0,100.0,28.6,54.5,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,94.4,100.0,100.0,83.3,79.8,75.0,100.0,64.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,100.0,100.0,100.0,100.0,66.7,100.0,100.0,0.0,100.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,18.2,0.0,45.5,9.1,55.6,50.0,66.7,50.0,26.9,0.0,55.6,25.0,100.0,100.0,100.0,100.0,83.3,100.0,50.0,100.0,88.9,100.0,100.0,66.7,30.7,14.3,44.4,33.3,15.0,0.0,23.0,22.0,54.8,100.0,50.0,14.3,100.0,100.0,-,-,-,-,-,-,-
Uzbekistan,100.0,77.9,70.3,22.2,19.8,50.0,50.0,50.0,50.0,35.7,96.1,100.0,100.0,100.0,100.0,100.0,0.0,66.7,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.3,25.0,50.0,25.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,32.9,0.0,71.4,27.3,100.0,100.0,100.0,100.0,44.4,0.0,100.0,33.3,63.0,0.0,100.0,88.9,57.1,0.0,100.0,71.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,0.0,100.0,100.0,55.6,33.3,33.3,100.0,93.3,80.0,100.0,100.0,55.6,33.3,66.7,66.7,80.6,41.7,100.0,100.0,23.8,71.4,0.0,0.0,0.0,85.7,85.7,85.7,85.7,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,37.0,42.9,54.5,13.6,16.7,0.0,0.0,50.0,39.3,42.9,66.7,8.3,100.0,100.0,100.0,100.0,83.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,15.9,14.3,33.3,0.0,13.0,0.0,22.0,17.0,33.3,0.0,0.0,100.0,36.2,100.0,-,-,-,-,-,-,-
